Untitled spreadsheet - Sheet1
Year,China,High income,Heavily indebted poor countries (HIPC),IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,OECD members,Pakistan,Post-demographic dividend,Upper middle income,United States,World
YR,CHN,HIC,HPC,IBD,IBT,IDA,IDB,IDN,IDX,IND,OED,PAK,PST,UMC,USA,WLD
Indicator Name,"Fertility rate, total (births per woman)","Fertility rate, total (births per woman)","Fertility rate, total (births per woman)","Fertility rate, total (births per woman)","Fertility rate, total (births per woman)","Fertility rate, total (births per woman)","Fertility rate, total (births per woman)","Fertility rate, total (births per woman)","Fertility rate, total (births per woman)","Fertility rate, total (births per woman)","Fertility rate, total (births per woman)","Fertility rate, total (births per woman)","Fertility rate, total (births per woman)","Fertility rate, total (births per woman)","Fertility rate, total (births per woman)","Fertility rate, total (births per woman)"
1960,5.748,3.036898217,6.748298984,5.429879642,5.626222657,6.612332947,6.447344522,5.666,6.689484769,5.906,3.233843675,6.6,2.898376115,5.309475978,3.654,4.984025926
1961,5.919,3.040504459,6.761181284,5.465282835,5.660361814,6.630248579,6.462663643,5.656,6.708623609,5.902,3.240280552,6.6,2.905635816,5.375460979,3.62,5.011694713
1962,6.089,2.991973217,6.774210164,5.51944296,5.710434861,6.646680358,6.474817575,5.645,6.727051298,5.894,3.196306299,6.6,2.862047703,5.472582612,3.461,5.036589974
1963,6.237,2.970939949,6.787227581,5.553577606,5.742152359,6.661286206,6.483760359,5.634,6.744272438,5.88,3.178238947,6.6,2.837290523,5.540643193,3.319,5.05806672
1964,6.346,2.949197666,6.799572713,5.567906359,5.756763085,6.673191001,6.489165825,5.623,6.759140289,5.859,3.16022759,6.6,2.815257074,5.582981963,3.19,5.068203655
1965,6.396,2.850295506,6.81136766,5.566468829,5.757505846,6.68287209,6.49264286,5.612,6.771604712,5.83,3.069838594,6.6,2.721546182,5.594901277,2.913,5.049588328
1966,6.375,2.684634352,6.822870064,5.535636146,5.733339446,6.69092532,6.496498859,5.599,6.781536571,5.794,2.91662363,6.6,2.567479281,5.566211153,2.721,4.996645579
1967,6.286,2.664099651,6.834669457,5.495807373,5.701228166,6.697988615,6.50233586,5.582,6.789067876,5.751,2.911042223,6.6,2.5554348,5.523875129,2.558,4.974011229
