LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,FERTILITY,TOT,CHD_WOMAN,A,1990,1.9,
AUS,FERTILITY,TOT,CHD_WOMAN,A,1991,1.85,
AUS,FERTILITY,TOT,CHD_WOMAN,A,1992,1.89,
AUS,FERTILITY,TOT,CHD_WOMAN,A,1993,1.86,
AUS,FERTILITY,TOT,CHD_WOMAN,A,1994,1.84,
AUS,FERTILITY,TOT,CHD_WOMAN,A,1995,1.82,
AUS,FERTILITY,TOT,CHD_WOMAN,A,1996,1.8,
AUS,FERTILITY,TOT,CHD_WOMAN,A,1997,1.78,
AUS,FERTILITY,TOT,CHD_WOMAN,A,1998,1.76,
AUS,FERTILITY,TOT,CHD_WOMAN,A,1999,1.76,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2000,1.76,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2001,1.73,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2002,1.77,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2003,1.77,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2004,1.78,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2005,1.85,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2006,1.88,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2007,1.99,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2008,2.02,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2009,1.97,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2010,1.95,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2011,1.92,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2012,1.93,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2013,1.88,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2014,1.79,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2015,1.79,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2016,1.79,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2017,1.74,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2018,1.74,
AUS,FERTILITY,TOT,CHD_WOMAN,A,2019,1.66,
AUT,FERTILITY,TOT,CHD_WOMAN,A,1990,1.46,
