year,region,fertrate,china,after_treatment
1960,1,5.756,TRUE,FALSE
1961,1,5.905,TRUE,FALSE
1962,1,6.062,TRUE,FALSE
1963,1,6.206,TRUE,FALSE
1964,1,6.32,TRUE,FALSE
1965,1,6.385,TRUE,FALSE
1966,1,6.384,TRUE,FALSE
1967,1,6.316,TRUE,FALSE
1968,1,6.184,TRUE,FALSE
1969,1,5.986,TRUE,FALSE
1970,1,5.725,TRUE,FALSE
1971,1,5.403,TRUE,FALSE
1972,1,5.035,TRUE,TRUE
1973,1,4.643,TRUE,TRUE
1974,1,4.244,TRUE,TRUE
1975,1,3.859,TRUE,TRUE
1976,1,3.508,TRUE,TRUE
1977,1,3.2,TRUE,TRUE
1978,1,2.943,TRUE,TRUE
1979,1,2.745,TRUE,TRUE
1980,1,2.613,TRUE,TRUE
1981,1,2.547,TRUE,TRUE
1982,1,2.536,TRUE,TRUE
1983,1,2.561,TRUE,TRUE
1984,1,2.607,TRUE,TRUE
1985,1,2.65,TRUE,TRUE
1986,1,2.666,TRUE,TRUE
1987,1,2.643,TRUE,TRUE
1988,1,2.575,TRUE,TRUE
1989,1,2.46,TRUE,TRUE
1990,1,2.309,TRUE,TRUE
1991,1,2.14,TRUE,TRUE
1992,1,1.977,TRUE,TRUE
1993,1,1.838,TRUE,TRUE
1994,1,1.731,TRUE,TRUE
1995,1,1.66,TRUE,TRUE
1996,1,1.622,TRUE,TRUE
1997,1,1.605,TRUE,TRUE
1998,1,1.597,TRUE,TRUE
1999,1,1.595,TRUE,TRUE
2000,1,1.596,TRUE,TRUE
2001,1,1.597,TRUE,TRUE
2002,1,1.6,TRUE,TRUE
2003,1,1.604,TRUE,TRUE
2004,1,1.608,TRUE,TRUE
2005,1,1.612,TRUE,TRUE
2006,1,1.615,TRUE,TRUE
2007,1,1.617,TRUE,TRUE
2008,1,1.62,TRUE,TRUE
2009,1,1.623,TRUE,TRUE
2010,1,1.627,TRUE,TRUE
2011,1,1.632,TRUE,TRUE
2012,1,1.639,TRUE,TRUE
2013,1,1.647,TRUE,TRUE
2014,1,1.656,TRUE,TRUE
2015,1,1.665,TRUE,TRUE
2016,1,1.675,TRUE,FALSE
2017,1,1.683,TRUE,FALSE
2018,1,1.69,TRUE,FALSE
2019,1,1.696,TRUE,FALSE
1960,2,6.348,FALSE,FALSE
1961,2,6.392,FALSE,FALSE
1962,2,6.425,FALSE,FALSE
1963,2,6.448,FALSE,FALSE
1964,2,6.464,FALSE,FALSE
1965,2,6.475,FALSE,FALSE
1966,2,6.485,FALSE,FALSE
1967,2,6.493,FALSE,FALSE
1968,2,6.494,FALSE,FALSE
1969,2,6.487,FALSE,FALSE
1970,2,6.465,FALSE,FALSE
1971,2,6.421,FALSE,FALSE
1972,2,6.35,FALSE,FALSE
1973,2,6.251,FALSE,FALSE
1974,2,6.125,FALSE,FALSE
1975,2,5.973,FALSE,FALSE
1976,2,5.8,FALSE,FALSE
1977,2,5.614,FALSE,FALSE
1978,2,5.423,FALSE,FALSE
1979,2,5.232,FALSE,FALSE
1980,2,5.046,FALSE,FALSE
1981,2,4.865,FALSE,FALSE
1982,2,4.691,FALSE,FALSE
1983,2,4.521,FALSE,FALSE
1984,2,4.359,FALSE,FALSE
1985,2,4.205,FALSE,FALSE
1986,2,4.062,FALSE,FALSE
1987,2,3.929,FALSE,FALSE
1988,2,3.802,FALSE,FALSE
1989,2,3.68,FALSE,FALSE
1990,2,3.553,FALSE,FALSE
1991,2,3.415,FALSE,FALSE
1992,2,3.26,FALSE,FALSE
1993,2,3.089,FALSE,FALSE
1994,2,2.904,FALSE,FALSE
1995,2,2.714,FALSE,FALSE
1996,2,2.529,FALSE,FALSE
1997,2,2.359,FALSE,FALSE
1998,2,2.213,FALSE,FALSE
1999,2,2.096,FALSE,FALSE
2000,2,2.01,FALSE,FALSE
2001,2,1.954,FALSE,FALSE
2002,2,1.92,FALSE,FALSE
2003,2,1.901,FALSE,FALSE
2004,2,1.894,FALSE,FALSE
2005,2,1.894,FALSE,FALSE
2006,2,1.899,FALSE,FALSE
2007,2,1.907,FALSE,FALSE
2008,2,1.918,FALSE,FALSE
2009,2,1.928,FALSE,FALSE
2010,2,1.938,FALSE,FALSE
2011,2,1.949,FALSE,FALSE
2012,2,1.962,FALSE,FALSE
2013,2,1.978,FALSE,FALSE
2014,2,1.996,FALSE,FALSE
2015,2,2.014,FALSE,FALSE
2016,2,2.03,FALSE,FALSE
2017,2,2.042,FALSE,FALSE
2018,2,2.049,FALSE,FALSE
2019,2,2.05,FALSE,FALSE
1960,3,5.906,FALSE,FALSE
1961,3,5.902,FALSE,FALSE
1962,3,5.894,FALSE,FALSE
1963,3,5.88,FALSE,FALSE
1964,3,5.859,FALSE,FALSE
1965,3,5.83,FALSE,FALSE
1966,3,5.794,FALSE,FALSE
